DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1986-0147-GBR,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,151,Kph,,,,1986,10,20,1986,10,20,,,,,,,,,,,,35.97234376,,2003-07-01,2023-09-25
1987-0191-GBR,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,South,,,No,No,No,,177,Kph,,,,1987,10,15,1987,10,15,20,,,,,,,1452000,3893746,1565000,4196772,37.29056939,,2003-07-01,2023-09-25
1989-0430-GBR,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,,Kph,,,,1989,2,26,1989,2,26,13,,,,,,,,,,,40.68459958,,2003-07-01,2023-09-25
1990-0152-GBR,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,,Kph,,,,1990,12,9,1990,12,9,,,,,,,,,,,,42.88073219,,2003-07-01,2023-09-25
1990-0193-GBR,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,Wrexham-Welshpool-Shrewsbury area,,,No,No,No,,4.7,Moment Magnitude,52.314,-2.985,,1990,4,2,1990,4,2,,,,,,,,,,,,42.88073219,,2003-12-18,2023-09-25
1990-0717-GBR,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,Daria,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,,Kph,,,,1990,1,25,1990,1,26,47,,,,,,,3050000,7112752,3400000,7928969,42.88073219,,2007-05-08,2023-09-25
1990-0718-GBR,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,Herta,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,,Kph,,,,1990,2,3,1990,2,4,,,,,,,,,,10000,23320,42.88073219,,2007-05-09,2023-09-25
1990-0719-GBR,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,Judith,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,,Kph,,,,1990,2,7,1990,2,8,,,,,,,,30000,69961,60000,139923,42.88073219,,2008-10-21,2023-09-25
1990-0720-GBR,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,Nana,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,,Kph,,,,1990,2,11,1990,2,12,,,,,,,,30000,69961,70000,163243,42.88073219,,2007-05-09,2023-09-25
1990-0722-GBR,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,Vivian,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,,Kph,,,,1990,2,25,1990,2,27,18,,,,,,,800000,1865640,900000,2098845,42.88073219,,2007-05-09,2023-09-25
